Product_Name,Brand,Category,Usage_Frequency,Price_USD,Rating,Number_of_Reviews,Skin_Type,Gender_Target,Country_of_Origin
Divine Exfoliator,Kylie Cosmetics,Face Mask,Occasional,72.78,3.9,1857,Oily,Female,Germany
Super Contour,Rare Beauty,Primer,Occasional,114.03,1,9905,Normal,Female,Japan
Divine Contour,Milk Makeup,Mascara,Daily,105.93,1.7,5581,Dry,Male,UK
Ultra Foundation,Pat McGrath Labs,Setting Spray,Weekly,40.89,3,7249,Dry,Female,South Korea
Divine Face Mask,Clinique,Contour,Daily,141.48,3.7,9189,Normal,Unisex,Germany
Divine Concealer,Anastasia Beverly Hills,Face Mask,Monthly,109.61,1.7,506,Oily,Male,Italy
Super Exfoliator,Sisley,Moisturizer,Weekly,78.62,2.7,4829,Normal,Male,Germany
Divine BB Cream,KVD Beauty,Lip Liner,Occasional,101.67,2.3,52,Oily,Unisex,UK
Perfect Cleanser,Farsali,Bronzer,Monthly,85.31,1.3,8316,Combination,Unisex,UK
Divine Exfoliator,Clinique,Makeup Remover,Weekly,76.5,4.8,8962,Sensitive,Unisex,Italy
Magic Contour,Natasha Denona,Face Mask,Daily,129.66,3.3,7110,Normal,Female,Italy
Super Lipstick,Shiseido,Concealer,Daily,42.77,4.9,6165,Combination,Male,Japan
Magic Eyeliner,Milk Makeup,Blush,Occasional,97.68,1.3,7863,Oily,Female,Italy
Divine Setting Spray,Bobby Brown,Blush,Weekly,126.69,4.8,9525,Oily,Unisex,France
Magic Highlighter,IT Cosmetics,Lip Liner,Occasional,141.34,4.9,9617,Oily,Female,Japan
Ultra Eye Shadow,NARS,Foundation,Monthly,136.12,4.6,5489,Normal,Female,UK
Magic Primer,Clinique,Blush,Occasional,48.08,2.6,8445,Combination,Male,Italy
Divine Lip Gloss,Rare Beauty,Face Oil,Occasional,149.9,4.3,6185,Normal,Female,UK
Super Lip Liner,Becca,Exfoliator,Monthly,89.22,2.5,8595,Dry,Female,South Korea
Divine Cleanser,KVD Beauty,BB Cream,Monthly,41.47,4.3,108,Sensitive,Female,South Korea
Super Face Mask,Shiseido,Setting Spray,Daily,43.51,3.5,3246,Dry,Male,USA
Super Contour,NARS,Highlighter,Daily,70.22,1.4,6921,Dry,Female,Germany
Ultra Serum,Patrick Ta,Moisturizer,Weekly,108.06,3.5,1467,Oily,Male,Germany
Super Primer,Danessa Myricks,Primer,Weekly,148.83,2.7,7034,Normal,Female,Australia
Divine Setting Spray,Natasha Denona,BB Cream,Weekly,22.51,3.6,8061,Normal,Male,France
Divine Mascara,Sisley,Concealer,Occasional,107.14,2.8,5333,Oily,Unisex,UK
Divine Lip Gloss,Laura Mercier,Cleanser,Occasional,93.49,1.7,1959,Sensitive,Female,Australia
Super Blush,Sisley,Face Oil,Occasional,57.93,3.2,7353,Combination,Unisex,Italy
Magic Serum,Huda Beauty,Setting Spray,Occasional,129.56,3.7,7580,Normal,Male,France
Ultra Lip Gloss,Charlotte Tilbury,Contour,Weekly,39.63,3.4,4162,Sensitive,Female,USA
Divine Face Oil,Urban Decay,Exfoliator,Occasional,71.49,2.8,770,Combination,Unisex,Japan
Ultra Setting Spray,IT Cosmetics,Setting Spray,Daily,62.75,3.1,2901,Sensitive,Female,France
Ultra Lip Liner,Bobby Brown,Face Oil,Monthly,88.28,3.1,159,Sensitive,Unisex,Japan
Magic Cleanser,NARS,Face Oil,Daily,94.71,3.9,5860,Combination,Female,Germany
Magic Serum,Morphe,Powder,Occasional,63.46,4.2,2493,Oily,Unisex,South Korea
Ultra BB Cream,KVD Beauty,Makeup Remover,Weekly,117.39,3.6,709,Combination,Male,USA
Magic Lipstick,Tatcha,Eye Shadow,Weekly,53.38,1.7,2607,Combination,Unisex,Australia
Ultra Exfoliator,Bite Beauty,Moisturizer,Daily,71.22,1.5,6782,Dry,Male,South Korea
Divine Serum,Charlotte Tilbury,Moisturizer,Monthly,26.05,4.4,8170,Combination,Male,Italy
Perfect Concealer,Kiehl’s,Bronzer,Weekly,136.41,1.3,7205,Oily,Female,South Korea
Super Powder,NARS,Contour,Daily,97.91,2.2,7774,Oily,Male,UK
Divine Mascara,Bourjois,BB Cream,Occasional,148.59,2,3949,Normal,Male,Italy
Ultra Face Oil,Tarte,Foundation,Daily,22.49,3.5,9078,Sensitive,Male,Italy
Perfect Lipstick,Bourjois,Concealer,Weekly,83.7,1.5,7243,Oily,Unisex,Australia
Divine Primer,Bite Beauty,Eyeliner,Daily,145.44,2.1,2793,Sensitive,Unisex,Japan
Super Contour,Sisley,Concealer,Occasional,128.12,2.9,2377,Combination,Unisex,Japan
Magic Eye Shadow,Fenty Beauty,Serum,Monthly,122.23,2.4,5600,Combination,Female,South Korea
Divine Highlighter,Farsali,Moisturizer,Weekly,119.67,4.4,9166,Sensitive,Male,Italy
Ultra Powder,Clinique,Foundation,Occasional,92.43,1.7,2230,Combination,Male,Australia
Ultra Powder,IT Cosmetics,Exfoliator,Monthly,69.14,4.6,6584,Combination,Male,USA
Ultra Powder,Bite Beauty,Lip Gloss,Monthly,29.6,3.4,8832,Sensitive,Female,Japan
Divine Primer,ColourPop,CC Cream,Daily,67.61,2.4,425,Sensitive,Male,USA
Perfect Cleanser,Juvia’s Place,Moisturizer,Daily,86.18,4.9,3436,Normal,Female,Australia
Super Makeup Remover,Milk Makeup,Contour,Daily,55.52,1.2,5117,Dry,Male,USA
Perfect Setting Spray,Pat McGrath Labs,Highlighter,Weekly,142.14,3.3,4548,Normal,Female,Germany
Magic Eyeliner,Shiseido,CC Cream,Weekly,149.16,4.4,6158,Sensitive,Female,USA
Divine Cleanser,Sisley,Cleanser,Occasional,52.89,3,9595,Sensitive,Female,Australia
Ultra Powder,Patrick Ta,Cleanser,Weekly,94.96,1,9200,Combination,Unisex,Australia
Divine Lip Gloss,Farsali,Face Oil,Monthly,143.49,2.6,8066,Sensitive,Male,UK
Perfect Lip Liner,Huda Beauty,Lip Gloss,Weekly,62.28,3.7,7809,Dry,Male,UK
Perfect Eye Shadow,Natasha Denona,CC Cream,Daily,149.85,1.8,7547,Combination,Female,USA
Super Lip Gloss,Patrick Ta,Bronzer,Weekly,83.63,4.8,3968,Sensitive,Male,UK
Divine Highlighter,Bourjois,Mascara,Occasional,51.65,2.1,3815,Dry,Female,Australia
Magic Makeup Remover,Too Faced,Makeup Remover,Monthly,65.46,2.5,1441,Oily,Male,USA
Perfect Cleanser,Ilia Beauty,Moisturizer,Occasional,47.92,3.9,8471,Normal,Female,Italy
Ultra Highlighter,Shiseido,Primer,Daily,71.25,4,5749,Oily,Female,France
Ultra Lipstick,NARS,Powder,Monthly,73.09,4.8,1574,Dry,Unisex,Germany
Super Setting Spray,Farsali,Exfoliator,Weekly,45.01,4.3,7285,Dry,Female,UK
Magic Powder,Kylie Cosmetics,Mascara,Daily,127.22,3.1,9065,Combination,Female,Japan
Perfect Setting Spray,Sisley,Face Mask,Occasional,62.17,4.9,4328,Dry,Unisex,Germany
Perfect Moisturizer,Rare Beauty,Eye Shadow,Daily,46.09,2.4,7298,Dry,Unisex,USA
Super Cleanser,Becca,Powder,Daily,132.84,2.1,4276,Dry,Unisex,France
Perfect Contour,Farsali,Cleanser,Occasional,70.92,2,5971,Dry,Unisex,France
Divine Setting Spray,Bite Beauty,Serum,Daily,46.21,4.5,8829,Dry,Female,Germany
Super Setting Spray,Ilia Beauty,CC Cream,Occasional,73.99,2.2,7777,Normal,Unisex,Japan
Magic Lip Gloss,Kylie Cosmetics,Blush,Occasional,47.86,1.4,7664,Normal,Female,South Korea
Perfect Highlighter,Milk Makeup,Primer,Daily,103.84,3.3,1206,Oily,Female,USA
Perfect Concealer,Juvia’s Place,Moisturizer,Monthly,40.17,2.1,6895,Combination,Female,Australia
Magic Lip Liner,RMS Beauty,Contour,Monthly,43.28,3.4,1567,Normal,Female,Australia
Magic Powder,Becca,Concealer,Occasional,108.74,4,5921,Sensitive,Female,UK
Ultra Lip Gloss,Kiehl’s,Eye Shadow,Weekly,78.36,1.9,3534,Normal,Male,USA
Ultra Exfoliator,Laura Mercier,Makeup Remover,Daily,46.74,1.2,6838,Sensitive,Female,USA
Super BB Cream,RMS Beauty,Moisturizer,Weekly,97.76,1.9,7701,Combination,Male,Germany
Super Eyeliner,Charlotte Tilbury,Concealer,Weekly,137.54,1.9,2124,Combination,Male,Australia
Ultra Lip Liner,Morphe,Primer,Occasional,92.26,1.3,9864,Dry,Female,USA
Divine Concealer,Tarte,Lipstick,Monthly,79.18,1,7201,Combination,Unisex,Italy
Perfect Mascara,ColourPop,Blush,Weekly,83.29,2.3,4336,Dry,Unisex,Japan
Ultra Primer,Becca,Foundation,Monthly,64.4,4,6745,Dry,Male,USA
Perfect Exfoliator,E.l.f.,Face Oil,Monthly,133.83,2.5,2589,Dry,Male,USA
Ultra Eyeliner,Bobby Brown,Eyeliner,Monthly,11.24,3.1,8830,Sensitive,Female,UK
Super Eye Shadow,Patrick Ta,Mascara,Daily,23.43,4.8,5322,Dry,Unisex,UK
Magic Mascara,Urban Decay,BB Cream,Weekly,57.18,2.1,1421,Oily,Unisex,UK
Divine Primer,Kiehl’s,Serum,Weekly,102.88,4.6,9311,Oily,Male,USA
Perfect Concealer,Becca,Powder,Monthly,142.44,4.2,451,Combination,Male,USA
Perfect Lip Liner,Laura Mercier,Concealer,Monthly,39.89,4.6,3914,Normal,Male,South Korea
Super Exfoliator,Drunk Elephant,Lip Liner,Monthly,23.98,1.5,8320,Combination,Female,Japan
Super Eyeliner,KVD Beauty,Face Mask,Occasional,112.59,4.7,7668,Oily,Female,Italy
Super Makeup Remover,Anastasia Beverly Hills,Exfoliator,Daily,148.49,1.1,3368,Dry,Unisex,France
Perfect Eye Shadow,Glossier,BB Cream,Monthly,33.77,4.3,442,Combination,Unisex,South Korea
Ultra Cleanser,Ilia Beauty,Face Oil,Daily,27.29,3.5,6783,Oily,Unisex,France
Perfect Lip Liner,Charlotte Tilbury,Face Oil,Monthly,147.41,4.5,2448,Oily,Female,France
Magic Setting Spray,Huda Beauty,Bronzer,Occasional,45.24,1.6,9014,Sensitive,Female,Australia
Perfect Mascara,Perricone MD,Contour,Daily,13.42,1.3,6389,Sensitive,Female,Australia
Magic Serum,Tatcha,BB Cream,Occasional,44.25,3.6,7779,Sensitive,Male,Japan
Magic Highlighter,Too Faced,Face Oil,Weekly,100.75,2,270,Sensitive,Female,South Korea
Divine Moisturizer,E.l.f.,Highlighter,Weekly,40.73,2.9,4891,Dry,Female,Italy
Magic Contour,Juvia’s Place,Highlighter,Daily,82.79,2.2,2172,Normal,Female,Australia
Super Concealer,Milk Makeup,Concealer,Occasional,129.35,4.8,2964,Combination,Unisex,UK
Magic Lipstick,RMS Beauty,Mascara,Weekly,76.05,1.4,9536,Normal,Unisex,Australia
Divine CC Cream,Bobby Brown,Cleanser,Daily,123.79,2,8183,Sensitive,Unisex,Italy
Ultra Lipstick,Bobby Brown,Moisturizer,Daily,113.13,3.6,138,Sensitive,Female,Germany
Perfect Setting Spray,Pat McGrath Labs,Highlighter,Weekly,27.41,1.6,6213,Oily,Male,USA
Ultra Eyeliner,Huda Beauty,Eyeliner,Weekly,89.35,2.1,7837,Oily,Female,Australia
Magic Face Oil,Laura Mercier,Face Oil,Daily,108.45,4.9,7641,Sensitive,Female,Australia
Ultra CC Cream,Bite Beauty,Makeup Remover,Daily,55.75,3.6,6536,Dry,Male,Italy
Super Face Oil,KVD Beauty,Bronzer,Weekly,148.58,2.8,93,Normal,Unisex,France
Ultra Blush,Kiehl’s,Contour,Weekly,115.69,2.2,4621,Oily,Unisex,USA
Super Face Mask,Too Faced,Concealer,Occasional,71.83,1.8,870,Oily,Male,France
Divine Cleanser,KVD Beauty,Exfoliator,Weekly,48.37,2.8,5551,Combination,Female,UK
Super Highlighter,Rare Beauty,BB Cream,Monthly,130.52,1.3,662,Combination,Female,South Korea
Perfect Mascara,Perricone MD,Cleanser,Monthly,24.44,2.6,5826,Dry,Unisex,South Korea
Ultra Eyeliner,Kiehl’s,Lip Gloss,Monthly,136.35,2.1,9142,Normal,Unisex,Germany
Super Face Oil,Kiehl’s,Lip Gloss,Monthly,21.42,4.3,461,Combination,Unisex,Italy
Divine Primer,Hourglass,Face Oil,Daily,18.3,1.5,7630,Combination,Unisex,Italy
Perfect BB Cream,Patrick Ta,Mascara,Occasional,53.85,1.7,5979,Normal,Unisex,South Korea
Perfect Lip Liner,Hourglass,Setting Spray,Weekly,51.03,4,3838,Dry,Unisex,Germany
Divine Setting Spray,Juvia’s Place,Serum,Occasional,15.99,3.3,6559,Combination,Female,Australia
Magic Lip Liner,NARS,CC Cream,Weekly,100.05,1.1,743,Dry,Male,Germany
Super Mascara,Hourglass,Lip Gloss,Occasional,95.4,4,2192,Oily,Male,South Korea
Ultra Cleanser,NARS,Powder,Occasional,52.06,3.7,8047,Combination,Female,Japan
Magic Highlighter,Charlotte Tilbury,Mascara,Daily,110.71,2.2,5384,Dry,Unisex,Australia
Perfect Foundation,Fenty Beauty,Moisturizer,Occasional,31.89,3.2,6463,Normal,Female,Germany
Divine Cleanser,Tarte,Bronzer,Monthly,58.92,4.2,3820,Combination,Unisex,UK
Super Highlighter,Pat McGrath Labs,Exfoliator,Daily,54.65,4.9,7666,Oily,Female,UK
Perfect Highlighter,Perricone MD,Cleanser,Daily,148.17,2,6541,Combination,Unisex,South Korea
Perfect Lip Gloss,Ilia Beauty,Foundation,Monthly,119.22,2.8,8082,Normal,Unisex,France
Divine CC Cream,Tarte,Eye Shadow,Daily,143.59,1.2,9635,Combination,Female,South Korea
Divine Eye Shadow,ColourPop,Lip Gloss,Occasional,116.47,3.6,9048,Combination,Female,UK
Ultra Eye Shadow,Kiehl’s,Blush,Weekly,35.66,2.7,3081,Normal,Male,Italy
Perfect Primer,Juvia’s Place,Mascara,Weekly,37.4,2.6,5029,Sensitive,Female,Germany
Super Contour,Glossier,Makeup Remover,Occasional,144.29,3,1718,Combination,Male,USA
Perfect Contour,Sisley,Blush,Weekly,104.34,1.9,401,Sensitive,Male,Australia
Magic Cleanser,Anastasia Beverly Hills,Concealer,Monthly,84.07,3.8,3362,Dry,Female,South Korea
Ultra Mascara,Tatcha,Bronzer,Weekly,104.9,4.5,6379,Normal,Female,USA
Super BB Cream,Shiseido,Concealer,Daily,131.63,3.6,9990,Dry,Female,South Korea
Super Setting Spray,Perricone MD,Foundation,Occasional,114.6,2.4,991,Normal,Unisex,South Korea
Perfect Lipstick,Tarte,Face Mask,Monthly,40.81,3.8,8723,Combination,Unisex,Italy
Ultra Lipstick,Huda Beauty,Bronzer,Weekly,11.44,1.8,3305,Normal,Male,Germany
Magic Eye Shadow,KVD Beauty,CC Cream,Weekly,127.76,2.3,8587,Normal,Female,Australia
Ultra Blush,IT Cosmetics,Lipstick,Occasional,76.92,1.3,9889,Dry,Male,South Korea
Ultra Blush,E.l.f.,Eye Shadow,Monthly,120.91,3.2,5159,Dry,Unisex,UK
Super Primer,Farsali,Lipstick,Daily,67.32,1.5,6102,Combination,Female,France
Ultra BB Cream,Kylie Cosmetics,Contour,Weekly,87.39,2.6,4846,Dry,Male,USA
Super Face Mask,Charlotte Tilbury,Cleanser,Daily,85.83,4.6,8613,Dry,Male,Japan
Perfect Powder,Shiseido,Highlighter,Weekly,47.15,4.1,6406,Combination,Unisex,USA
Divine Bronzer,Farsali,Foundation,Occasional,103,5,9904,Dry,Unisex,Australia
Magic Setting Spray,Clinique,Serum,Occasional,113.65,2.3,3028,Normal,Unisex,Australia
Ultra Makeup Remover,Anastasia Beverly Hills,Blush,Occasional,96.37,2.2,776,Dry,Male,Italy
Super BB Cream,Bobby Brown,Eyeliner,Weekly,70.72,1.6,8753,Combination,Unisex,USA
Divine Primer,E.l.f.,Concealer,Monthly,114.3,2.7,3174,Oily,Unisex,Italy
Magic Blush,Kylie Cosmetics,Highlighter,Occasional,55.93,3.3,8919,Dry,Female,Australia
Divine Lip Gloss,Kylie Cosmetics,Foundation,Monthly,134.96,4.7,5283,Dry,Male,UK
Ultra Bronzer,Juvia’s Place,Lip Liner,Occasional,43.32,1.7,1448,Sensitive,Female,South Korea
Magic Bronzer,Bobby Brown,Moisturizer,Weekly,40.31,4.9,7779,Oily,Female,USA
Magic Mascara,Farsali,Lipstick,Occasional,31.57,4,6269,Oily,Female,Japan
Magic Blush,Kylie Cosmetics,Contour,Occasional,96.34,3.9,8488,Oily,Female,Australia
Perfect Serum,Make Up For Ever,Primer,Monthly,101.91,1.9,4422,Combination,Male,USA
Divine Mascara,Make Up For Ever,Face Oil,Occasional,10.2,1.8,7814,Combination,Unisex,Italy
Super Lip Gloss,Drunk Elephant,Primer,Weekly,63.5,3.2,4547,Dry,Female,Japan
Perfect Eye Shadow,Bobby Brown,Eyeliner,Daily,119.63,2.2,3089,Normal,Male,USA
Divine Highlighter,Yves Saint Laurent,BB Cream,Daily,147.67,1,9889,Sensitive,Female,Japan
Ultra Serum,Juvia’s Place,Eyeliner,Monthly,70.24,2.4,5240,Sensitive,Unisex,USA
Super Blush,Becca,Face Oil,Daily,86.98,1.8,8258,Dry,Unisex,USA
Super Lip Liner,Becca,CC Cream,Daily,145.28,4.7,766,Oily,Female,Italy
Super Setting Spray,Milk Makeup,Eye Shadow,Occasional,63.09,1.3,8611,Dry,Unisex,France
Divine BB Cream,Shiseido,Primer,Weekly,86.62,4.3,6736,Combination,Unisex,Germany
Super Face Oil,Hourglass,Powder,Occasional,107.2,4.6,9835,Oily,Male,UK
Super Contour,Kylie Cosmetics,Concealer,Daily,107.24,4.4,3865,Oily,Female,South Korea
Super Bronzer,Huda Beauty,Mascara,Occasional,86.57,1.2,5072,Oily,Female,Italy
Divine Eye Shadow,Bite Beauty,Serum,Monthly,106.8,3.5,8552,Sensitive,Unisex,France
Divine BB Cream,Clinique,Lip Liner,Occasional,57.84,4.3,9804,Sensitive,Female,Italy
Divine Lipstick,NARS,Cleanser,Weekly,79.2,4.5,7625,Dry,Male,Japan
Super Face Oil,NARS,Powder,Occasional,95.98,1.3,8285,Oily,Unisex,Germany
Divine Primer,Kylie Cosmetics,Face Oil,Weekly,91.97,4.5,4038,Oily,Unisex,Italy
Divine CC Cream,Patrick Ta,Mascara,Occasional,126.27,1.5,5729,Normal,Male,Germany
Magic Mascara,Make Up For Ever,Mascara,Weekly,148.03,1.8,855,Sensitive,Female,Germany
Magic Moisturizer,RMS Beauty,Serum,Daily,18.16,3.5,7572,Dry,Male,Australia
Ultra BB Cream,RMS Beauty,Face Oil,Monthly,148.16,2.9,4420,Combination,Unisex,Italy
Divine Mascara,Bobby Brown,Highlighter,Monthly,68.59,3.3,3530,Oily,Female,USA
Magic Powder,Juvia’s Place,Concealer,Weekly,101.28,4.2,6529,Dry,Male,France
Magic BB Cream,Fenty Beauty,Contour,Monthly,85.46,3.7,5907,Oily,Unisex,South Korea
Super Mascara,Morphe,Eyeliner,Monthly,108.6,2.7,4371,Dry,Male,Italy
Magic Exfoliator,Kylie Cosmetics,Foundation,Occasional,33.72,4.4,1242,Sensitive,Male,Italy
